iter	R2	RMSE
0	0.02944106447	0.1078195895
1	0.05976398237	0.1061219349
2	0.08897668922	0.1044603466
3	0.1173724868	0.1028194907
4	0.1446231203	0.1012197992
5	0.170942966	0.09965037148
6	0.196334325	0.09811251935
7	0.2206793558	0.09661505563
8	0.2441041963	0.09515194827
9	0.2661992785	0.09375097328
10	0.2885537898	0.09231191342
11	0.3090796412	0.09097052746
12	0.3297371294	0.089600266
13	0.3497099051	0.08825519672
14	0.3688247641	0.08694841977
15	0.3873512679	0.08566284371
16	0.4048691808	0.08442925136
17	0.4210531042	0.08327335891
18	0.437333093	0.08209418664
19	0.4530963096	0.080936076
20	0.4680891609	0.07981897345
21	0.4825947458	0.07872309049
22	0.4966969424	0.07764285604
23	0.5106198661	0.07656140339
24	0.5236788492	0.07553298555
25	0.5362122373	0.07453261529
26	0.5483280472	0.0735526424
27	0.5596899427	0.0726216347
28	0.5702802021	0.07174297789
29	0.5809706829	0.07084495396
30	0.5915364247	0.06994608078
31	0.6017351167	0.06906733918
32	0.6113095393	0.06823208761
33	0.6202936535	0.06743892609
34	0.6295688037	0.06661016278
35	0.6384224523	0.06580932637
36	0.6461074837	0.06510620889
37	0.6542348229	0.0643542664
38	0.6619874689	0.06362870998
39	0.669687408	0.06289980265
40	0.6768486843	0.06221422307
41	0.684019256	0.06152009912
42	0.6904691139	0.06088898203
43	0.6969313696	0.06025002216
44	0.702822879	0.05966153232
45	0.7090799529	0.0590301032
46	0.7149189547	0.05843470947
47	0.7212553362	0.05778165793
48	0.7273030699	0.0571513959
49	0.7334597296	0.05650256126
50	0.7388354604	0.0559298716
51	0.7443731932	0.05533372602
52	0.7497067294	0.05475342672
53	0.7545950978	0.05421610764
54	0.7596029849	0.05366007228
55	0.7643925836	0.05312282918
56	0.7691839521	0.05257989544
57	0.7738688024	0.05204355554
58	0.7780614982	0.05155882873
59	0.7822772086	0.05106680238
60	0.7863175095	0.05059075797
61	0.7903749667	0.05010814092
62	0.7941470909	0.04965525566
63	0.7977339791	0.04922074505
64	0.8012528582	0.0487907129
65	0.804731655	0.04836182048
66	0.8081857407	0.04793217789
67	0.8112943107	0.04754219344
68	0.8143139515	0.04716027784
69	0.8171286529	0.04680147601
70	0.8198979451	0.04644575766
71	0.8224177982	0.046119696
72	0.8250404515	0.04577786589
73	0.8277263904	0.04542512119
74	0.8303729657	0.04507484608
75	0.8327389619	0.04475938512
76	0.835142108	0.04443667846
77	0.8374654872	0.04412243934
78	0.8398647801	0.04379556648
79	0.84217162	0.04347897201
80	0.8440087997	0.04322517576
81	0.8460592323	0.04294014849
82	0.8479629334	0.04267381388
83	0.8494692295	0.04246189383
84	0.8512163425	0.04221476083
85	0.8530460068	0.04195439026
86	0.8547475592	0.04171079211
87	0.8563084355	0.04148607561
88	0.8578513802	0.04126273792
89	0.8592078664	0.04106538635
90	0.8607254283	0.04084347016
91	0.8623037736	0.04061137905
92	0.8635286057	0.0404303529
93	0.8649598971	0.04021778035
94	0.8664542205	0.03999464088
95	0.8679617814	0.03976825602
96	0.8694067324	0.03955005685
97	0.8708204321	0.03933540551
98	0.8721943618	0.03912566431
99	0.8735089671	0.03892392143
100	0.8748331625	0.03871964418
101	0.8760383553	0.03853278354
102	0.8773255672	0.03833220015
103	0.8784091704	0.03816252736
104	0.8793765373	0.0380104152
105	0.8804295586	0.03784413945
106	0.8814148421	0.03768789541
107	0.8824388673	0.03752481837
108	0.8833774084	0.03737472983
109	0.884388436	0.03721237219
110	0.8852846425	0.03706785875
111	0.8862714401	0.03690808293
112	0.8871959863	0.03675775631
113	0.8881086675	0.03660875342
114	0.8888748557	0.03648319687
115	0.8896004143	0.03636389873
116	0.8903971874	0.0362324388
117	0.8911857246	0.03610186643
118	0.8920989185	0.03595005977
119	0.8928496084	0.03582478554
120	0.8935657567	0.0357048659
121	0.8941870808	0.0356004974
122	0.8949640153	0.03546955774
123	0.895673774	0.03534951556
124	0.8962846261	0.03524587417
125	0.8970576222	0.03511428387
126	0.8977208191	0.0350009908
127	0.8981788216	0.03492253629
128	0.8986450222	0.03484249603
129	0.8992741826	0.03473418541
130	0.8997066108	0.03465954616
131	0.9002914596	0.03455834193
132	0.9007861981	0.03447249871
133	0.9012979631	0.03438347568
134	0.9018105362	0.03429408043
135	0.9022982794	0.03420879874
136	0.9028229047	0.03411683025
137	0.9032750817	0.0340373628
138	0.9036992001	0.03396265748
139	0.9041978191	0.03387461872
140	0.9045581552	0.03381085322
141	0.9050453932	0.03372443929
142	0.9054853596	0.03364621851
143	0.9058756681	0.03357667377
144	0.9062197117	0.03351525281
145	0.9065316009	0.03345947482
146	0.9068524042	0.03340200546
147	0.9071641037	0.03334607213
148	0.9074849591	0.03328839763
149	0.9077813876	0.03323502497
150	0.9081117279	0.03317544526
151	0.908432679	0.03311745629
152	0.9087906222	0.03305266368
153	0.9091019634	0.03299620318
154	0.9094611122	0.03293095272
155	0.9098111236	0.03286723773
156	0.910120966	0.03281073173
157	0.9104260094	0.0327550057
158	0.9106975676	0.03270531692
159	0.9110077608	0.03264846634
160	0.9112751373	0.03259938342
161	0.9114696385	0.03256363188
162	0.9117132961	0.03251878941
163	0.9119801169	0.03246961294
164	0.9122181613	0.03242567717
165	0.9124578513	0.03238137745
166	0.9126159311	0.0323521278
167	0.9128077497	0.03231659986
168	0.913029294	0.03227551758
169	0.9132397142	0.03223644964
170	0.9134568674	0.0321960819
171	0.9137032909	0.03215021155
172	0.9139096317	0.03211175197
173	0.9141015149	0.03207594575
174	0.9143035722	0.03203819774
175	0.9143796761	0.03202396858
176	0.9146351489	0.03197615655
177	0.9148224581	0.03194105594
178	0.9150525677	0.03189788192
179	0.9152442104	0.03186188054
180	0.9154068498	0.03183129569
181	0.9156342417	0.0317884846
182	0.9158109231	0.03175518094
183	0.9159351295	0.03173174765
184	0.9160673245	0.03170678819
185	0.9162282969	0.03167636877
186	0.9163843485	0.03164685133
187	0.9165195067	0.03162126365
188	0.9167013079	0.03158681298
189	0.9168010192	0.03156790209
190	0.9169281747	0.03154376979
191	0.9170325878	0.03152393984
192	0.9171595781	0.03149980526
193	0.9173977228	0.03145449579
194	0.9174118542	0.03145180509
195	0.9176282189	0.03141057932
196	0.9177134235	0.0313943297
197	0.9177552468	0.03138635038
198	0.9179356415	0.03135191025
199	0.9181348558	0.03131383317
200	0.9182599838	0.03128989297
